problem_id	description	regex	pos_examples	neg_examples
b-1_t-cat_id-11	A string consisting of 1 to 3 'U' followed by 'a' or 'n' and optionally 1 to 3 'U'.	concat(repeatrange(<U>,1,3),concat(or(<a>,<n>),optional(repeatrange(<U>,1,3))))	UUUnU UUn UUaUUU UUaU UUUnUU UaUU	UUUt UUUtUUU UdUU UUUUaU UUUUn UUdUUU
b-1_t-cat_id-11	The string starts with 1 to 3 letter U followed by either an a or an n. The ending of string is optional and it has 1 to 3 letter U.	concat(repeatrange(<U>,1,3),concat(or(<a>,<n>),optional(repeatrange(<U>,1,3))))	UUUnU UUn UUaUUU UUaU UUUnUU UaUU	UUUt UUUtUUU UdUU UUUUaU UUUUn UUdUUU
b-1_t-cat_id-15	a list of four strings.first string consist 2 to 4 letters.second string consist single digit number value.third string consist of 2 to 3 letter.last string consist of 3 to 4 lower case.	concat(repeatrange(<let>,2,4),concat(<num>,concat(repeatrange(<let>,2,4),repeatrange(<low>,3,4))))	cw1CGAder iYwI0FhuNimaq gLbR2LrKykgs kBt2PJYyim kBt2PuVyob Gx0Afgvr	ptQaL1aXYecd tlxs40YAkmw sEEHHltEydl iBKnY8Moefh iBKnY8bmhgq hxEbghDBhuqg
b-1_t-cat_id-15	This pattern can be formed by any string that starts with two to four letters, followed by a digit, two to four letters more, and ends with three to four lowercase letters	concat(repeatrange(<let>,2,4),concat(<num>,concat(repeatrange(<let>,2,4),repeatrange(<low>,3,4))))	cw1CGAder iYwI0FhuNimaq gLbR2LrKykgs kBt2PJYyim kBt2PuVyob Gx0Afgvr	ptQaL1aXYecd tlxs40YAkmw sEEHHltEydl iBKnY8Moefh iBKnY8bmhgq hxEbghDBhuqg
b-1_t-cat_id-15	The string starts with 2 to 4 letters followed by a number after which there are 2 to 4 letters. The string ends with 3 to 4 lowercase letters.	concat(repeatrange(<let>,2,4),concat(<num>,concat(repeatrange(<let>,2,4),repeatrange(<low>,3,4))))	cw1CGAder iYwI0FhuNimaq gLbR2LrKykgs kBt2PJYyim kBt2PuVyob Gx0Afgvr	ptQaL1aXYecd tlxs40YAkmw sEEHHltEydl iBKnY8Moefh iBKnY8bmhgq hxEbghDBhuqg
b-1_t-cat_id-16	There are two strings.  First string consist 3-4 letter.  second or last string consist 4 'j' that is optional.	concat(repeatrange(<let>,3,4),optional(repeat(<j>,4)))	lZz Nhtjjjj NhVjjjj gcvNjjjj lsk gcvjjjjj	TiNjjjjjj nAhwjjj nAhMjjj YMDCO eeMDLjjjj YMDdn
b-1_t-cat_id-16	a string starting with 3-4 letters, then an optional 4 j's.	concat(repeatrange(<let>,3,4),optional(repeat(<j>,4)))	lZz Nhtjjjj NhVjjjj gcvNjjjj lsk gcvjjjjj	TiNjjjjjj nAhwjjj nAhMjjj YMDCO eeMDLjjjj YMDdn
b-1_t-cat_id-16	The string starts with 3 to 4 letters and it ends with 4 letter j which is optional.	concat(repeatrange(<let>,3,4),optional(repeat(<j>,4)))	lZz Nhtjjjj NhVjjjj gcvNjjjj lsk gcvjjjjj	TiNjjjjjj nAhwjjj nAhMjjj YMDCO eeMDLjjjj YMDdn
b-1_t-cat_id-17	A LIST OF SIX STRINGS.THE FIRST STRING CONSIST OF 2-3 'y' AND SECOND STRING CONSIST OF 1-3 LOWERCASE AND THIRD STRING CONSIST OF 3 CAPITAL AND FOURTH STRING CONSIST OF 3-4 NOT LETTER AND FIFTH STRING CONSIST OF 1+ 'Z' AND FINAL STRING CONSIST OF 3 LETTER	concat(repeatrange(<y>,2,3),concat(repeatrange(<low>,1,3),concat(repeat(<cap>,3),concat(repeatrange(notcc(<let>),3,4),concat(repeatatleast(<Z>,1),repeat(<let>,3))))))	yyycUNX9_7%ZaGu yyvOQH__5ZZZZZDsn yyznjUCF^^_ZZZZZwtO yysqPFT___#ZZZZZZZXu yyyzTYZ!=1ZZZZZaqu yyeqCPA___ZZlK	yyyfLQ2!^ZZZoJP yyzmABM_^5^aIT yyyNW61!&ZZZZZZZqFX yyyQDHP-;^^ZZZZUiw yyzDIHM#_^ZZZZZZrKk yyznaZUAE^^^!ZZZZwAJ
b-1_t-cat_id-17	"The string starts with 2-3 ""y""s, followed by 1-3 lowercase letters, followed by 3 capital letters. It must then have 3-4 not letters, more than 1 ""Z"" and end with 3 letters"	concat(repeatrange(<y>,2,3),concat(repeatrange(<low>,1,3),concat(repeat(<cap>,3),concat(repeatrange(notcc(<let>),3,4),concat(repeatatleast(<Z>,1),repeat(<let>,3))))))	yyycUNX9_7%ZaGu yyvOQH__5ZZZZZDsn yyznjUCF^^_ZZZZZwtO yysqPFT___#ZZZZZZZXu yyyzTYZ!=1ZZZZZaqu yyeqCPA___ZZlK	yyyfLQ2!^ZZZoJP yyzmABM_^5^aIT yyyNW61!&ZZZZZZZqFX yyyQDHP-;^^ZZZZUiw yyzDIHM#_^ZZZZZZrKk yyznaZUAE^^^!ZZZZwAJ
b-1_t-cat_id-17	The string starts with 2 to 3 letter y followed by 1 to 3 lowercase letters and then 3 capital letters which are followed by 3 to 4 characters that are not letter which are followed by more than 1 Z. The string ends with 3 letters.	concat(repeatrange(<y>,2,3),concat(repeatrange(<low>,1,3),concat(repeat(<cap>,3),concat(repeatrange(notcc(<let>),3,4),concat(repeatatleast(<Z>,1),repeat(<let>,3))))))	yyycUNX9_7%ZaGu yyvOQH__5ZZZZZDsn yyznjUCF^^_ZZZZZwtO yysqPFT___#ZZZZZZZXu yyyzTYZ!=1ZZZZZaqu yyeqCPA___ZZlK	yyyfLQ2!^ZZZoJP yyzmABM_^5^aIT yyyNW61!&ZZZZZZZqFX yyyQDHP-;^^ZZZZUiw yyzDIHM#_^ZZZZZZrKk yyznaZUAE^^^!ZZZZwAJ
b-1_t-cat_id-20	The first string has 3-4 capital letters followed by a lowercase letter and an optional 's'. After a comma the second string has 3 or more digits followed by 2-3 'c'.	concat(repeatrange(<cap>,3,4),concat(<low>,concat(optional(<w>),concat(<,>,concat(repeatatleast(<num>,3),repeatrange(<c>,2,3))))))	BZAOy,667040ccc USMg,46631ccc OLKGx,09060880ccc CTDf,621cc YGKp,822973683410cc SYXs,418387207cc	ABHnz,85557ccc XNUVgw,56cc FYSLy,36cc JAHUpfw,0178175ccc QTBPBs,222888cc JAHUpf,079198828cc
b-1_t-cat_id-20	A list of 2 strings coma separated. First strings consists of 3 to 4 capital plus 1 lowercase and optional w. Second string must start with 3 or more digits plus 2 to 3 'c'.	concat(repeatrange(<cap>,3,4),concat(<low>,concat(optional(<w>),concat(<,>,concat(repeatatleast(<num>,3),repeatrange(<c>,2,3))))))	BZAOy,667040ccc USMg,46631ccc OLKGx,09060880ccc CTDf,621cc YGKp,822973683410cc SYXs,418387207cc	ABHnz,85557ccc XNUVgw,56cc FYSLy,36cc JAHUpfw,0178175ccc QTBPBs,222888cc JAHUpf,079198828cc
b-1_t-cat_id-20	A list of the six part of the strings.  First string consist the 3 to 4 capital letters and next string consist the lowercase of single value.  Third string consist the optional value of the lowercase of 'w' and followed by a next string as comma symbol.  And the fifth string consist the 3 or more digit numeric value and the last value is consist the 2 to 3 lowercase of 'c'	concat(repeatrange(<cap>,3,4),concat(<low>,concat(optional(<w>),concat(<,>,concat(repeatatleast(<num>,3),repeatrange(<c>,2,3))))))	BZAOy,667040ccc USMg,46631ccc OLKGx,09060880ccc CTDf,621cc YGKp,822973683410cc SYXs,418387207cc	ABHnz,85557ccc XNUVgw,56cc FYSLy,36cc JAHUpfw,0178175ccc QTBPBs,222888cc JAHUpf,079198828cc
b-1_t-cat_id-22	The string starts and ends with any three or four letters. Two or three lowercase letters appear in between those parts.	concat(repeatrange(<let>,3,4),concat(repeatrange(<low>,2,3),repeatrange(<let>,3,4)))	RDeqkzFkH RDeqkzFkz TrzxvgfC RDeqkzFWR Trzxvgfc IfDzgegMeMY	TWgwOlnbdxcI YMRkOibHkM cwxvbXt xYohLBKA zMtEnfgnISHj pIFIMbdPkLB
b-1_t-cat_id-22	A string consists of 3 or 4 letters, followed by 2 or 3 lowercase letters and finally ends with another group of 3 or 4 letters.	concat(repeatrange(<let>,3,4),concat(repeatrange(<low>,2,3),repeatrange(<let>,3,4)))	RDeqkzFkH RDeqkzFkz TrzxvgfC RDeqkzFWR Trzxvgfc IfDzgegMeMY	TWgwOlnbdxcI YMRkOibHkM cwxvbXt xYohLBKA zMtEnfgnISHj pIFIMbdPkLB
b-1_t-cat_id-22	a list of three strings. first string consist of 3 to 4 letters, second string consist of 2 to 3 lawercase, last string consist of 3 to 4 letters.	concat(repeatrange(<let>,3,4),concat(repeatrange(<low>,2,3),repeatrange(<let>,3,4)))	RDeqkzFkH RDeqkzFkz TrzxvgfC RDeqkzFWR Trzxvgfc IfDzgegMeMY	TWgwOlnbdxcI YMRkOibHkM cwxvbXt xYohLBKA zMtEnfgnISHj pIFIMbdPkLB
b-1_t-cat_id-23	A sequence is 1 to 2 capital letters followed by 3 to 4 digits and optionally 1 to 2 capital letters.	concat(repeatrange(<cap>,1,2),concat(repeatrange(<num>,3,4),optional(repeatrange(<cap>,1,2))))	B129G GI4215GN Z7790C FQ413VB BQ903 FQ4130H	JK52371 1547P WKK599AD O91455 WKK5994G 4425G
b-1_t-cat_id-23	A string with 1-2 capital letters, then 3-4 digits, followed by an option 1-2 capital letters.	concat(repeatrange(<cap>,1,2),concat(repeatrange(<num>,3,4),optional(repeatrange(<cap>,1,2))))	B129G GI4215GN Z7790C FQ413VB BQ903 FQ4130H	JK52371 1547P WKK599AD O91455 WKK5994G 4425G
b-1_t-cat_id-23	The string starts with 1 to 2 capital letters followed by 3 to 4 numbers. The string ends with optional 1 to 2 capital letters.	concat(repeatrange(<cap>,1,2),concat(repeatrange(<num>,3,4),optional(repeatrange(<cap>,1,2))))	B129G GI4215GN Z7790C FQ413VB BQ903 FQ4130H	JK52371 1547P WKK599AD O91455 WKK5994G 4425G
b-1_t-cat_id-24	There are four strings.  The first string is consists '0' or ;9; and the next string 2 to 4 'S'. the third string consist '0' or '9' and the last string consist 1 to 4 digit numeric value	concat(or(<0>,<9>),concat(repeatrange(<S>,2,4),concat(or(<0>,<9>),repeatrange(<num>,1,4))))	0SSS9643 0SSSS95 0SSSS0748 0SSSS9334 0SS923 9SS97	9SSS5791 9SS70 5SSSS0682 5SS94 0SSS7164 0SSS87
b-1_t-cat_id-24	A LIST OF FOUR STRINGS.THE FIRST STRING CONSIST OF '0' OR '9' AND SECOND STRING CONSIST OF 2-4 'S' AND THIRD STRING CONSIST OF '0' OR '9' AND FINAL STRING CONSIST OF 1-4 DIGIT.	concat(or(<0>,<9>),concat(repeatrange(<S>,2,4),concat(or(<0>,<9>),repeatrange(<num>,1,4))))	0SSS9643 0SSSS95 0SSSS0748 0SSSS9334 0SS923 9SS97	9SSS5791 9SS70 5SSSS0682 5SS94 0SSS7164 0SSS87
b-1_t-cat_id-24	The string starts with number 0 or 9 followed by 2 to 4 letter S and then the number 0 or 9. The string ends with 1 to 4 numbers.	concat(or(<0>,<9>),concat(repeatrange(<S>,2,4),concat(or(<0>,<9>),repeatrange(<num>,1,4))))	0SSS9643 0SSSS95 0SSSS0748 0SSSS9334 0SS923 9SS97	9SSS5791 9SS70 5SSSS0682 5SS94 0SSS7164 0SSS87
b-1_t-cat_id-29	"a sequence begins with one or more letters ""B"", 4 lower case letters, 4 letters, 1 or 2 lower case letters, no letters and the last 2 or 3 numbers or letters"	concat(repeatatleast(<B>,1),concat(repeat(<low>,4),concat(repeat(<let>,4),concat(repeatrange(<low>,1,2),concat(notcc(<let>),or(repeatrange(<num>,2,3),repeatrange(<let>,2,3)))))))	BiniqPugZa_eT BiniqPugZa_04 BBBBBBlqfaFyBqx_XIW BBBBdsjaEMvety9oJL BBBBbkyxaEEizm449 Bqggrxfmttr_IZu	BsqubGtfwyf^7241 BqbocaPCQq^VHNZ iwvboWFJt_Wn BBBBndiqQedEew+KqaN BmmawrOvmfsn5Xd BkmryNLdVr-^UF
b-1_t-cat_id-29	"The string must start with more than 1 ""B"", followed by 4 lowercase letters, then 4 letters, followed by 1-2 lowercase letters, followed by not a letter and end with 2-3 digits or 2-3 letters."	concat(repeatatleast(<B>,1),concat(repeat(<low>,4),concat(repeat(<let>,4),concat(repeatrange(<low>,1,2),concat(notcc(<let>),or(repeatrange(<num>,2,3),repeatrange(<let>,2,3)))))))	BiniqPugZa_eT BiniqPugZa_04 BBBBBBlqfaFyBqx_XIW BBBBdsjaEMvety9oJL BBBBbkyxaEEizm449 Bqggrxfmttr_IZu	BsqubGtfwyf^7241 BqbocaPCQq^VHNZ iwvboWFJt_Wn BBBBndiqQedEew+KqaN BmmawrOvmfsn5Xd BkmryNLdVr-^UF
b-1_t-cat_id-29	The string starts with at least one capital B.  Then continues with 4 lowercase letters, 4 more letters which are lowercase or capital, 1-2 lowercase letters, 1 character that isn't a letter, and ends with a series of 2-3 characters, which are either letters or numbers.	concat(repeatatleast(<B>,1),concat(repeat(<low>,4),concat(repeat(<let>,4),concat(repeatrange(<low>,1,2),concat(notcc(<let>),or(repeatrange(<num>,2,3),repeatrange(<let>,2,3)))))))	BiniqPugZa_eT BiniqPugZa_04 BBBBBBlqfaFyBqx_XIW BBBBdsjaEMvety9oJL BBBBbkyxaEEizm449 Bqggrxfmttr_IZu	BsqubGtfwyf^7241 BqbocaPCQq^VHNZ iwvboWFJt_Wn BBBBndiqQedEew+KqaN BmmawrOvmfsn5Xd BkmryNLdVr-^UF
b-1_t-cat_id-30	A list of three strings.. First string consist 1 or more digit numeric value.  Second string consist 2 to 3 letter. Last string consist 1 or more digit numeric value.	concat(repeatatleast(<num>,1),concat(repeatrange(<let>,2,3),repeatatleast(<num>,1)))	88UYU874 6HHL535948 432EM52 0vd10 6qN0 51pn75425411809	jDb87745147 9G3027286247844 8kz JB2 nYA13874989076 404917nTc
b-1_t-cat_id-30	The string  consists of 1 or more numbers, followed by 2 or 3 letters, followed by 1 or more numbers of any length.	concat(repeatatleast(<num>,1),concat(repeatrange(<let>,2,3),repeatatleast(<num>,1)))	88UYU874 6HHL535948 432EM52 0vd10 6qN0 51pn75425411809	jDb87745147 9G3027286247844 8kz JB2 nYA13874989076 404917nTc
b-1_t-cat_id-30	The string starts with more than 1 number followed by 2 to 3 letters, and it ends with more than 1 number.	concat(repeatatleast(<num>,1),concat(repeatrange(<let>,2,3),repeatatleast(<num>,1)))	88UYU874 6HHL535948 432EM52 0vd10 6qN0 51pn75425411809	jDb87745147 9G3027286247844 8kz JB2 nYA13874989076 404917nTc
b-1_t-cat_id-31	A list of the five strings a first string contains the optional string there are 3 to 4 capital letters and the next string contains the 1 or more letters. the third string consist the 3 to 4 capital letters and the fourth string want match found the uppercase of 'P' and the last string has the 3 to 4 Capital letters	concat(optional(repeatrange(<cap>,3,4)),concat(repeatatleast(<let>,1),concat(repeatrange(<cap>,3,4),concat(<P>,repeatrange(<cap>,3,4)))))	nvKjxOWwsWKaMWDPWFP PVlGLSGPLUIJ MSrBdGITLUGUcMYVPRPP odXMBdMTMPRHBP sYxdzhLpiKMICVPQBX iVwmoZVNPYPSNYJ	txxNVMFQWPiDpNLOPQA OeGuJfXpexeLRSSNNFP XUTPVUB DcrfeOXUCDBBN txxNVMFQWPiDpNLOPQT nKAuxJxSGPiTZQPVZ
b-1_t-cat_id-31	A string that can optionally be started 3-4 capital letters, followed by any number of random letters more than one, then 3-4 capital letters. After which come a capital letter 'P', followed by 3-4 more random capital letters.	concat(optional(repeatrange(<cap>,3,4)),concat(repeatatleast(<let>,1),concat(repeatrange(<cap>,3,4),concat(<P>,repeatrange(<cap>,3,4)))))	nvKjxOWwsWKaMWDPWFP PVlGLSGPLUIJ MSrBdGITLUGUcMYVPRPP odXMBdMTMPRHBP sYxdzhLpiKMICVPQBX iVwmoZVNPYPSNYJ	txxNVMFQWPiDpNLOPQA OeGuJfXpexeLRSSNNFP XUTPVUB DcrfeOXUCDBBN txxNVMFQWPiDpNLOPQT nKAuxJxSGPiTZQPVZ
b-1_t-cat_id-31	A string always includes the uppercase letter P, followed by 3 to 4 capital letters. It is preceded by at least 1 letter followed by 3 to 4 capital letters. Optionally, the string can be prefixed with additional 3-4 capital letters.	concat(optional(repeatrange(<cap>,3,4)),concat(repeatatleast(<let>,1),concat(repeatrange(<cap>,3,4),concat(<P>,repeatrange(<cap>,3,4)))))	nvKjxOWwsWKaMWDPWFP PVlGLSGPLUIJ MSrBdGITLUGUcMYVPRPP odXMBdMTMPRHBP sYxdzhLpiKMICVPQBX iVwmoZVNPYPSNYJ	txxNVMFQWPiDpNLOPQA OeGuJfXpexeLRSSNNFP XUTPVUB DcrfeOXUCDBBN txxNVMFQWPiDpNLOPQT nKAuxJxSGPiTZQPVZ
b-1_t-cat_id-32	"The string starts with a capital ""L"" followed by three or four capital letters. Optionally, four numbers come next. Then there is an exclamation point followed by one to four numbers. It ends with a lowercase ""l""."	concat(<L>,concat(repeatrange(<cap>,3,4),concat(optional(repeat(<num>,4)),concat(<!>,concat(repeatrange(<num>,1,4),<l>)))))	LGSHX6567!877l LQMMT4485!46l LQMM6177!555l LPIL2710!4l LDFUA!08l LVUQ!3472l	LJD!812l LMRH!34650l LGTWX!l LSJDAG!6l LXN3953!4675l LDIOO8548!l
b-1_t-cat_id-32	Begin with a capital L followed by 3-4 capital letters and an optional 4 digits directly after. Follow this with an exclamation mark (!) and 1-4 digits. End the string with l	concat(<L>,concat(repeatrange(<cap>,3,4),concat(optional(repeat(<num>,4)),concat(<!>,concat(repeatrange(<num>,1,4),<l>)))))	LGSHX6567!877l LQMMT4485!46l LQMM6177!555l LPIL2710!4l LDFUA!08l LVUQ!3472l	LJD!812l LMRH!34650l LGTWX!l LSJDAG!6l LXN3953!4675l LDIOO8548!l
b-1_t-cat_id-32	"seis strings. Primeira string é a letra ""L"". segunda string 3-4 capital letra. terceira string 4 digit(opicional).quarta string ""!"". quinta string 1-4 digit. sexta string ""l""."	concat(<L>,concat(repeatrange(<cap>,3,4),concat(optional(repeat(<num>,4)),concat(<!>,concat(repeatrange(<num>,1,4),<l>)))))	LGSHX6567!877l LQMMT4485!46l LQMM6177!555l LPIL2710!4l LDFUA!08l LVUQ!3472l	LJD!812l LMRH!34650l LGTWX!l LSJDAG!6l LXN3953!4675l LDIOO8548!l
b-1_t-cat_id-33	there are five strings.first string consist by 4 digit numeric value.second string consist by letters .third string consist by 1 or more capital letters.fourth strings consist 4 digit numeric value.last string consist by letters	concat(repeat(<num>,4),concat(<let>,concat(repeatatleast(<cap>,1),concat(repeat(<num>,4),<let>))))	6709AESGX9007W 7209TOKAFHJK3927L 9568LDCYWLH7154w 3760vVVSXXDTVL7076q 6709zJKGI7665z 7372wOGYDI9377p	4469GSRIDZIJOK6447Dz 0916eSJIZEPWE4397 0533IPGIB6584 8060a9084D 7202SOTO30377X 7084wvFSPB7595Y
b-1_t-cat_id-33	A list of 5 strings. first string consist of 5 digits numeric value, second string consist of single letter, third string consist of 1 or more capital letters, fourth  string consist of 4 digit numeric value, last string consist of single letter.	concat(repeat(<num>,4),concat(<let>,concat(repeatatleast(<cap>,1),concat(repeat(<num>,4),<let>))))	6709AESGX9007W 7209TOKAFHJK3927L 9568LDCYWLH7154w 3760vVVSXXDTVL7076q 6709zJKGI7665z 7372wOGYDI9377p	4469GSRIDZIJOK6447Dz 0916eSJIZEPWE4397 0533IPGIB6584 8060a9084D 7202SOTO30377X 7084wvFSPB7595Y
b-1_t-cat_id-33	The string starts with 4 numbers followed by a letter and after it more than 1 capital letter which are followed by 4 numbers. The string ends with a letter.	concat(repeat(<num>,4),concat(<let>,concat(repeatatleast(<cap>,1),concat(repeat(<num>,4),<let>))))	6709AESGX9007W 7209TOKAFHJK3927L 9568LDCYWLH7154w 3760vVVSXXDTVL7076q 6709zJKGI7665z 7372wOGYDI9377p	4469GSRIDZIJOK6447Dz 0916eSJIZEPWE4397 0533IPGIB6584 8060a9084D 7202SOTO30377X 7084wvFSPB7595Y
b-1_t-cat_id-34	"Three or more capital ""S""s begin and end the string. They are separated by a capital ""G""."	concat(repeatatleast(<S>,3),concat(<G>,repeatatleast(<S>,3)))	SSSGSSSSSSSSSS SSSSSSSGSSSSSSSS SSSSSSSSSGSSSSSSSSSS SSSSSSSSSSGSSSSSS SSSGSSSSS SSSSGSSSSSS	SSGSSSSSSSSSSSSSSSS SSSSSSSGSS SSSQSSSSSSSSSS SSGSSS SSGSSSSSSSS SSGSSSSSSSSSSSSS
b-1_t-cat_id-34	there are three strings.first and last string consist of 3 or more letters of 'S'.second string consist of G	concat(repeatatleast(<S>,3),concat(<G>,repeatatleast(<S>,3)))	SSSGSSSSSSSSSS SSSSSSSGSSSSSSSS SSSSSSSSSGSSSSSSSSSS SSSSSSSSSSGSSSSSS SSSGSSSSS SSSSGSSSSSS	SSGSSSSSSSSSSSSSSSS SSSSSSSGSS SSSQSSSSSSSSSS SSGSSS SSGSSSSSSSS SSGSSSSSSSSSSSSS
b-1_t-cat_id-34	"This pattern matches any string that starts with three or more ""S"" Capital letters, a G Capital letter, and ends with three or more ""S"" capital letters"	concat(repeatatleast(<S>,3),concat(<G>,repeatatleast(<S>,3)))	SSSGSSSSSSSSSS SSSSSSSGSSSSSSSS SSSSSSSSSGSSSSSSSSSS SSSSSSSSSSGSSSSSS SSSGSSSSS SSSSGSSSSSS	SSGSSSSSSSSSSSSSSSS SSSSSSSGSS SSSQSSSSSSSSSS SSGSSS SSGSSSSSSSS SSGSSSSSSSSSSSSS
b-1_t-cat_id-4	"A string comprised of 2-4 digits, 4 capital letters, 3 or more lowercase ""q""s, 3-4 capital letters, and 2-3 lowercase letters"	concat(repeatrange(<num>,2,4),concat(repeat(<cap>,4),concat(repeatatleast(<q>,3),concat(repeatrange(<cap>,3,4),repeatrange(<low>,2,3)))))	43DGSNqqqqqqQRGri 83GIXYqqqqZOMls 20ASKVqqqqqqPGUqhy 6760HMBMqqqqqqKEFef 222OKUNqqqWBRbcf 6760HMBMqqqqqYVJbqq	67KXOqqqqqqqGBIfg 67KXOqqqqqqIAJjbk 47NWLqqqJEDPyf 16HTUDYqqqqDCNldi 8HDLSqqqqqqqqLPVOjdd 0944LBGKqqqqCCIqrbv
