problem_id	description	regex	pos_examples	neg_examples
b-1_t-cat_id-21	a string starting with at least one capital K followed by at least 2 lowercase letters. After that there will be another capital K or more with the number 4 or 7 at the end.	concat(repeatatleast(<K>,1),concat(repeatatleast(<low>,2),concat(repeatatleast(<K>,1),or(<4>,<7>))))	KKKKoyeflKKKK7 KjxKKKKKKKKKKKKKKK4 KKyoqgcKKKKK4 KwiKKKKKKKKKKKKKKKK4 KmcKK7 KgbKKKK4	uhqujKKKKKKKK7 Kgxwvkxjtrxz4 KKKKdKKK7 KKkjdkgowbuixf7 KKttqnzcsfigg7 KKeni7
b-1_t-cat_id-25	A three to four digits or letters string, followed by another string of four letters, which is optional	concat(repeatrange(or(<num>,<let>),3,4),optional(repeat(<let>,4)))	r511 n8d 21Z4gjbe Jkvsnyj 21Z4gjbM n8N	42x15 DEx1GacNH 8X2R5pVdU 42x1e TWPVi 8X2R5pVXx
b-1_t-cat_id-25	The string starts with 3 to 4 numbers or letters, and the end of string which is optional should be of 4 letters.	concat(repeatrange(or(<num>,<let>),3,4),optional(repeat(<let>,4)))	r511 n8d 21Z4gjbe Jkvsnyj 21Z4gjbM n8N	42x15 DEx1GacNH 8X2R5pVdU 42x1e TWPVi 8X2R5pVXx
b-1_t-cat_id-26	"The string starts with a period or exclamation mark, followed by either a ""6"" or ""2"". Next there are one to four ""8""s, followed by either ""$"" or ""^"". It ends with two or more numbers."	concat(or(<.>,<!>),concat(or(<6>,<2>),concat(repeatrange(<8>,1,4),concat(or(<$>,<^>),repeatatleast(<num>,2)))))	!68$4873608104 !68^9855547192 .688^43310 .6888^023366871670 !6888^27834289 !288^81674938867510	!2888+9818 .68888^8 .2^3010870 !68888+885661 .688888$15 !288+587438633
b-1_t-cat_id-26	I WANT TO ENTER CAPITAL LETTER IN FIRST STRING AND SECOND ONE WITH 2 DIGIT AND SEPARATED WITH DASH ANDNEXT STRING WITH A CAPITAL AND NEXT WITH 2 DIGIT NEXT SEPARATE BY A DASH AND THE FINAL STRING CONSIST OF 2 DIGIT	concat(or(<.>,<!>),concat(or(<6>,<2>),concat(repeatrange(<8>,1,4),concat(or(<$>,<^>),repeatatleast(<num>,2)))))	!68$4873608104 !68^9855547192 .688^43310 .6888^023366871670 !6888^27834289 !288^81674938867510	!2888+9818 .68888^8 .2^3010870 !68888+885661 .688888$15 !288+587438633
b-1_t-cat_id-28	"The string begins with two or more lowercase ""s""s followed by three numbers. An uppercase ""Z"" must come next. Next is either ""*##"" or ""_;,"". Optionally, it can end with three or four capital letters."	concat(repeatatleast(<s>,2),concat(repeat(<num>,3),concat(<Z>,concat(or(const(<*##>),const(<_;,>)),optional(repeatrange(<cap>,3,4))))))	ssssss292Z_;,KQD ssssssssss384Z*## ssss940Z_;, sss946Z_;,XOE sssss787Z*## sssss787Z_;,	ss323Z-+=PYW ssssssssss474Z_;,HZ ssss221Z*##IY sssss306Z-+=UGTB ssss611*##YHU ssss244Z*##IVXLO
b-1_t-cat_id-28	"The string must begin with 2 or more letter ""s"". After this grouping, it is a 3 digit number. After this 3 digit number, there a letter ""Z"". After the letter ""Z"", the string must contain ""_;,"" or ""##"". The string can end with an optional string of 3 to 4 capital letters."	concat(repeatatleast(<s>,2),concat(repeat(<num>,3),concat(<Z>,concat(or(const(<*##>),const(<_;,>)),optional(repeatrange(<cap>,3,4))))))	ssssss292Z_;,KQD ssssssssss384Z*## ssss940Z_;, sss946Z_;,XOE sssss787Z*## sssss787Z_;,	ss323Z-+=PYW ssssssssss474Z_;,HZ ssss221Z*##IY sssss306Z-+=UGTB ssss611*##YHU ssss244Z*##IVXLO
b-1_t-cat_id-3	A list of three strings.  A first string consist 1-3 capital that is optional.  Second string consist 2+ digit numeric value.  And last string consist 3+ '8' numeric value.	concat(optional(repeatrange(<cap>,1,3)),concat(repeatatleast(<num>,2),repeatatleast(<8>,3)))	028999998899596888 N259986488499888 098982888 03828988999826888 K5088888 098988888	40882979392965988 WB79988
b-1_t-cat_id-3	The string starts with an optional 1-3 capital letters and then more than 2 digits, and it ends with more than three 8	concat(optional(repeatrange(<cap>,1,3)),concat(repeatatleast(<num>,2),repeatatleast(<8>,3)))	028999998899596888 N259986488499888 098982888 03828988999826888 K5088888 098988888	40882979392965988 WB79988
b-1_t-cat_id-35	There are two strings first is optional with two to three letters and the second one follows with 3+u	concat(optional(repeatrange(<let>,2,3)),repeatatleast(<u>,3))	uuu sNvuuuuuuu vzuuuuuuu xWuuu QWuuuu uyMuuuuuuuuu	iruu QEuu uu uKyuu uu ytxuu
b-1_t-cat_id-35	A string with optional 2-3 letters, then 3 u's.	concat(optional(repeatrange(<let>,2,3)),repeatatleast(<u>,3))	uuu sNvuuuuuuu vzuuuuuuu xWuuu QWuuuu uyMuuuuuuuuu	iruu QEuu uu uKyuu uu ytxuu
b-1_t-cat_id-36	A list of three strings. the first and last string consist 2 or more digit numeric value. the second of the string consist 1 to 3 capital that is optional	concat(repeatatleast(<num>,2),concat(optional(repeatrange(<cap>,1,3)),repeatatleast(<num>,2)))	98YQN981021695469 16QNT38800627546979 7635YET32079659413 2670162TAR8168 96TN676259121877 98928P84105469588	7J97259698535074 97402888781UKCF98 5UDD899276 6P38851755872 370693GUEO2784862369 9073173RKIP6873
b-1_t-cat_id-36	a list of three strings. first sring consist of 2 or more digits numeric value, second stringconsist of 1 to 3 capital letters or that is optinal part. the last string consist of 2 or more digits numeric value.	concat(repeatatleast(<num>,2),concat(optional(repeatrange(<cap>,1,3)),repeatatleast(<num>,2)))	98YQN981021695469 16QNT38800627546979 7635YET32079659413 2670162TAR8168 96TN676259121877 98928P84105469588	7J97259698535074 97402888781UKCF98 5UDD899276 6P38851755872 370693GUEO2784862369 9073173RKIP6873
b-1_t-cat_id-37	A list of three strings.  First string consist 1-2 Capital.  Next string consist 1+ lowercase. Last string consist 1-2 Capital.	concat(repeatrange(<cap>,1,2),concat(repeatatleast(<low>,1),repeatrange(<cap>,1,2)))	SwmxvzcwkoeauhB PnymfwnphzxntQ GFyefsW BgenjdhtmtstlkectvUA HlfobnwzxyHI NDnjfwezeC	Xexm DBF HTsurftlb XPhh hrhernD voC
b-1_t-cat_id-37	The string starts with 1 to 2 capital letters after which there is more than 1 lowercase letters. The string ends with 1 to 2 capital letters.	concat(repeatrange(<cap>,1,2),concat(repeatatleast(<low>,1),repeatrange(<cap>,1,2)))	SwmxvzcwkoeauhB PnymfwnphzxntQ GFyefsW BgenjdhtmtstlkectvUA HlfobnwzxyHI NDnjfwezeC	Xexm DBF HTsurftlb XPhh hrhernD voC
b-1_t-cat_id-38	The string starts and ends with two or more capital letters. The middle part consists of one or more lowercase letters.	concat(repeatatleast(<cap>,2),concat(repeatatleast(<low>,1),repeatatleast(<cap>,2)))	QPOCtsyAV RJeysgaJOGCEMZULF VXUHaoEMGODAOBCZBMK OVbXOM FWXiEAM QPOCtNYIE	ASHNSBIXGIYUYGKYCP DJXZQ MrgfABO OKKN MVqspeioclQ WsfwYBEHYLRGHVRY
b-1_t-cat_id-38	A string starting with 2 or more capital letters, then 1 or more lower case letters, then 2 or more capital letters.	concat(repeatatleast(<cap>,2),concat(repeatatleast(<low>,1),repeatatleast(<cap>,2)))	QPOCtsyAV RJeysgaJOGCEMZULF VXUHaoEMGODAOBCZBMK OVbXOM FWXiEAM QPOCtNYIE	ASHNSBIXGIYUYGKYCP DJXZQ MrgfABO OKKN MVqspeioclQ WsfwYBEHYLRGHVRY
b-1_t-cat_id-39	A LIST OF TWO STRINGS.FIRST STRING CONSIST OF 1+'X'(OPTIONAL).SECOND STRING CONSIST OF 3 TO 4 DIGIT NUMBERIC VALUE	concat(optional(repeatatleast(<X>,1)),repeatrange(<num>,3,4))	XXXX680 XXXXXXX649 XXXXXXXX817 XXX4280 XXXXXXXXXXXXXX695 XXXXX5749	XXXXXXXXXXXXXX10759 XX63873 X65362 XXXXXXXXXX47055 X13 XXXXXXXXXXXX05
b-1_t-cat_id-39	A LIST OF TWO STRINGS.THE FIRST STRING CONSIST OF 1+'X' THAT IS OPTIONAL AND FINAL STRING CONSIST OF 3-4 DIGIT.	concat(optional(repeatatleast(<X>,1)),repeatrange(<num>,3,4))	XXXX680 XXXXXXX649 XXXXXXXX817 XXX4280 XXXXXXXXXXXXXX695 XXXXX5749	XXXXXXXXXXXXXX10759 XX63873 X65362 XXXXXXXXXX47055 X13 XXXXXXXXXXXX05
b-1_t-cat_id-44	A list of five strings first and third string consist of '^' or '*' second and fourth string consist of 'B' or 'a' and the final string is optional with 1+ Y	concat(or(<^>,<*>),concat(or(<B>,<a>),concat(or(<^>,<*>),concat(or(<B>,<a>),optional(repeatatleast(<Y>,1))))))	*a*BYYYYYYYYYYYYY *a*aYYYYYYYYYYYYYYYY *a^aYY *a^BYYYYYYYYYYYYY *a^aYYYYYYYYYYYYYYYY *B^BYYYYYYYYYYYYYY	*a^TYYYYY *e*aYYYYYYYYYY ^z^BYYYYYYYY *B*TYYYYY
b-1_t-cat_id-48	A list of two strings.  First string match of 'P'. Last string consist by 1 or more letters.	concat(<P>,repeatatleast(<let>,1))	PIhLDCEEEXY PbVQWACSMIyIUcaCpR PnNfeNkjrikm PEnSSmnAQTyCPJuLz Pna PnNfeNkjriMs	P P P P
b-1_t-cat_id-48	"The string is the letter 'P"" followed by at least one more letter."	concat(<P>,repeatatleast(<let>,1))	PIhLDCEEEXY PbVQWACSMIyIUcaCpR PnNfeNkjrikm PEnSSmnAQTyCPJuLz Pna PnNfeNkjriMs	P P P P
b-1_t-cat_id-5	there are two strings.first string consist by symbols that is optional.last string consist by 2 to 4 letters	concat(repeatrange(<let>,2,4),optional(or(<->,<#>)))	ryDN ws# ryD- uwJH- uwJl- ws-	hbMon- VCV& rcWA$ hbMon# hbMoV# rccr$
b-1_t-cat_id-5	A string that starts with 2-4 letters and optionally ends with '-' or '#'.	concat(repeatrange(<let>,2,4),optional(or(<->,<#>)))	ryDN ws# ryD- uwJH- uwJl- ws-	hbMon- VCV& rcWA$ hbMon# hbMoV# rccr$
b-1_t-cat_id-50	There are three strings.  First string consist 2 to 3 letter.  The next string consist 3 lowercase and last string consist 3 to 4 capital.	concat(repeatrange(<let>,2,3),concat(repeat(<low>,3),repeatrange(<cap>,3,4)))	nxnknrUKZK JLvxoVVIC nxCesuCTHH HXlzrVVQ JyHwqhUZW JLLxpyTAM	XjirINGA PlzsmLJDPW FxmtjdiAPXW PJvwyQSNAJ NlHoiLYNW pmaoAIHX
b-1_t-cat_id-50	A string that starts with 2-3 letters, followed by 3 lowercase letters and ending with 3-4 capital letters.	concat(repeatrange(<let>,2,3),concat(repeat(<low>,3),repeatrange(<cap>,3,4)))	nxnknrUKZK JLvxoVVIC nxCesuCTHH HXlzrVVQ JyHwqhUZW JLLxpyTAM	XjirINGA PlzsmLJDPW FxmtjdiAPXW PJvwyQSNAJ NlHoiLYNW pmaoAIHX
b-1_t-cat_id-58	there are five strings.one,three and last strings consist by 3 to 4 letters.second strings consist by 1 to 4 lowercase that is optional.fourth strings consist by 1 or more capital letters that is optional.	concat(repeatrange(<let>,3,4),concat(optional(repeatrange(<low>,1,4)),concat(repeatrange(<let>,3,4),concat(optional(repeatatleast(<cap>,1)),repeatrange(<let>,3,4)))))	XwOEDjcZYOJYBVTI SubwRgNjFXUHWGpml mszLiZJPeNMMCAGVLWC mszLiZJPeNMMCAGVLfS YCmBIpNFJFWPXERoVY ZXhwbMpDtdqi	VJHEEexpJDiiRWUudBU GJreRmEgqQsWJ
b-1_t-cat_id-58	A LIST OF FIVE STRING.THE FIRST STRING CONSIST OF 3-4 LETTER AND SECOND STRING CONSIST OF 1-4 LOWERCASE THAT IS OPTIONAL AND THIRD STRING CONSIST OF 3-4 LETTER AND FOURTH STRING CONSIST BY 1+CAPITAL THAT IS OPTIONAL AND FINAL STRING CONSIST OF 3-4 LETTER.	concat(repeatrange(<let>,3,4),concat(optional(repeatrange(<low>,1,4)),concat(repeatrange(<let>,3,4),concat(optional(repeatatleast(<cap>,1)),repeatrange(<let>,3,4)))))	XwOEDjcZYOJYBVTI SubwRgNjFXUHWGpml mszLiZJPeNMMCAGVLWC mszLiZJPeNMMCAGVLfS YCmBIpNFJFWPXERoVY ZXhwbMpDtdqi	VJHEEexpJDiiRWUudBU GJreRmEgqQsWJ
b-1_t-cat_id-59	A string starts with 3 characters that are not digits and ends with either 2 digits or 2 capital letters. Inbetween, there may be a sequence of any length of letters and digits.	concat(repeat(notcc(<num>),3),concat(optional(repeatatleast(or(<let>,<num>),1)),or(repeat(<num>,2),repeat(<cap>,2))))	DcLPsTM6KUd70 -$&AC91 P_%segclG43877ML673 @#&j0BSAH19lD4313 ,..N2eR3K58KI0QU bGjiQl2EvXA	jm42CM Oz99
b-1_t-cat_id-59	The string starts with 3 characters which are not numbers and then more than 1 letter or number which are optional. The string ends either with 2 number or 2 capital letters.	concat(repeat(notcc(<num>),3),concat(optional(repeatatleast(or(<let>,<num>),1)),or(repeat(<num>,2),repeat(<cap>,2))))	DcLPsTM6KUd70 -$&AC91 P_%segclG43877ML673 @#&j0BSAH19lD4313 ,..N2eR3K58KI0QU bGjiQl2EvXA	jm42CM Oz99
b-1_t-cat_id-65	There are list of four strings first one contains three+ capital letters next string need 3+ digits third one contains N or g and the final string contains 2-4 letters	concat(repeatatleast(<cap>,3),concat(repeatatleast(<num>,3),concat(or(<N>,<g>),repeatrange(<let>,2,4))))	MLWTMF6362817NVF ZHX617822gxRkC UYL17023292112NdoMy UYL17023292112Ndobx MLWTMF6362817NVn ZKQ4687NOB	SW9925840NSHzv LQ47036403gAKev NJTVU71grbz CAV564609423279310NP EJV9882531NIFVzl BDMZVDWXHMV76gLF
b-1_t-cat_id-65	A string that must start with 3 or more capital letters, followed by 3 or more digits, followed only by a N capital letter or a lowercase g, and to end with 2 to 4 letters.	concat(repeatatleast(<cap>,3),concat(repeatatleast(<num>,3),concat(or(<N>,<g>),repeatrange(<let>,2,4))))	MLWTMF6362817NVF ZHX617822gxRkC UYL17023292112NdoMy UYL17023292112Ndobx MLWTMF6362817NVn ZKQ4687NOB	SW9925840NSHzv LQ47036403gAKev NJTVU71grbz CAV564609423279310NP EJV9882531NIFVzl BDMZVDWXHMV76gLF
b-1_t-cat_id-68	A list of five strings.  A first one consist 2 to 4 capital and the next string consists 3 to 4 '0'. the third string consists should be an optional. the fourth string consists 2 to 4 capital the last string contains 3 to 4 letter.	concat(repeatrange(<cap>,2,4),concat(repeatrange(<0>,3,4),concat(optional(<low>),concat(repeatrange(<cap>,2,4),repeatrange(<let>,3,4)))))	AXE000KEUIm KLRT0000tWVQCUMNk IQ000uNCPIigXs AXE000KEUIV MJIH000EURGADHv KLRT0000tWVQCUMhn	Q000tDFKjFOO JZN00dRFiAA LV0000ehTOoZV S0000pVHETzcTd N0000hXRBQwFdM RSBR00000HWWplBA
b-1_t-cat_id-68	A string starting with 2-4 capitals, followed by 3-4 '0', then an optional lowercase letter. After that, 2-4 capital letters, followed by 3-4 letters.	concat(repeatrange(<cap>,2,4),concat(repeatrange(<0>,3,4),concat(optional(<low>),concat(repeatrange(<cap>,2,4),repeatrange(<let>,3,4)))))	AXE000KEUIm KLRT0000tWVQCUMNk IQ000uNCPIigXs AXE000KEUIV MJIH000EURGADHv KLRT0000tWVQCUMhn	Q000tDFKjFOO JZN00dRFiAA LV0000ehTOoZV S0000pVHETzcTd N0000hXRBQwFdM RSBR00000HWWplBA
b-1_t-cat_id-69	There are three strings.  First string consist by 2 or more lowercase. Second string consist 3 to 4 'T'. Last string consist 1 to 4 'b'.	concat(repeatatleast(<low>,2),concat(repeatrange(<T>,3,4),repeatrange(<b>,1,4)))	lxnyqomdvpgTTTTbb ethyhidnxTTTbbbb unTTTTbb bsdlqzsvTTTbbb sasodxcvkymtlxTTTTb ethyhidnxTTTTbbb	phpkwdxrTTTbbbbb yzrTTb ozwypcnzxktddTTb elfTTTbbbbb wyuxuTTTbbbbb dhyvibTTTbbbbb
b-1_t-cat_id-69	A string that begins with 2 or more lowercase letters, then 3-4 'T' followed by 1-4 'b'.	concat(repeatatleast(<low>,2),concat(repeatrange(<T>,3,4),repeatrange(<b>,1,4)))	lxnyqomdvpgTTTTbb ethyhidnxTTTbbbb unTTTTbb bsdlqzsvTTTbbb sasodxcvkymtlxTTTTb ethyhidnxTTTTbbb	phpkwdxrTTTbbbbb yzrTTb ozwypcnzxktddTTb elfTTTbbbbb wyuxuTTTbbbbb dhyvibTTTbbbbb
b-1_t-cat_id-71	The string begins and ends with one to four lowercase letters. These parts are separated by any two letters.	concat(repeatrange(<low>,1,4),concat(repeat(<let>,2),repeatrange(<low>,1,4)))	mwmpGg jbjcpbrftt gfylblrl gfylOIao mROqe mwmpnm	tztuqSfpyob acLgymfqp nylanxUiw ahnplwKj jWqyvhhn evHLhznbx
b-1_t-cat_id-71	A list of 3  strings. first string consist of 1 to 4 lowercase, second string consist of 2 letters, last string consist of 1 to 4 lowercase.	concat(repeatrange(<low>,1,4),concat(repeat(<let>,2),repeatrange(<low>,1,4)))	mwmpGg jbjcpbrftt gfylblrl gfylOIao mROqe mwmpnm	tztuqSfpyob acLgymfqp nylanxUiw ahnplwKj jWqyvhhn evHLhznbx
b-1_t-cat_id-75	A list of two strings.  First string consist 3 lowercase.  Last string consist 3+ letter.	concat(repeat(<low>,3),repeatatleast(<let>,3))	fsuhoRdKRUGrFIRj iptHLAdpPnKUXPrWo vzaYtMELVhRzLq iilrcgrSl notQqOBmXIZCJDk gswokWBJKRrMdkCNPRkp	qmnVF qmnVa irmPp irmwY qmnyA
b-1_t-cat_id-75	The string starts with 3 lowercase letters, and it ends with more than 3 letters.	concat(repeat(<low>,3),repeatatleast(<let>,3))	fsuhoRdKRUGrFIRj iptHLAdpPnKUXPrWo vzaYtMELVhRzLq iilrcgrSl notQqOBmXIZCJDk gswokWBJKRrMdkCNPRkp	qmnVF qmnVa irmPp irmwY qmnyA
b-1_t-cat_id-77	there are five strings.first strings consist 3 or more digit numeric values.second string consist by 2 or more lowercase.third string consist by 2 to 4 capital letters.fourth strings consist by 2 or more letter of'I'.last string consist by 4 'f'	concat(repeatatleast(<num>,3),concat(repeatatleast(<low>,2),concat(repeatrange(<cap>,2,4),concat(repeatatleast(<I>,2),repeat(<f>,4)))))	177jyEFXDIIIIIffff 241zwINKIIIffff 303htnyiEZKBIIIffff 9795mdTTILIIffff 7138yamXWEHIIffff 241zwINDPIIffff	9783tkuuxvogIGDIffff 0880coaNNHIIIfff 15535vFVIIffff 829ouezXZPIffff 994iCBIHIIIIIffff 2439lulXTIffff
b-1_t-cat_id-78	a list of three strings.first string consist of 2 capital letters.second string consist of 2 to 3 digit numbers.last string consist of 1 to 3 letters.	concat(repeat(<cap>,2),concat(repeatrange(<num>,2,3),repeatrange(<let>,1,3)))	GC271w GC271Z IA420lSU IA420lqf HA992Mb IA420lqW	BTU489RNX EM5Bsr BTU489RNm KT78MTnf TZ17 SNU52Uq
b-1_t-cat_id-78	A LIST OF THREE STRINGS. THE FIRST STRING CONSIST OF 2 CAPITAL AND SECOND STRING CONSIST OF 2-3 DIGIT AND FINAL STRING CONSIST OF 1-3 LETTER.	concat(repeat(<cap>,2),concat(repeatrange(<num>,2,3),repeatrange(<let>,1,3)))	GC271w GC271Z IA420lSU IA420lqf HA992Mb IA420lqW	BTU489RNX EM5Bsr BTU489RNm KT78MTnf TZ17 SNU52Uq
b-1_t-cat_id-8	There are two strings. First string consist 'Q' or 'L'. and final string consist 1 or more capital.	concat(or(<Q>,<L>),repeatatleast(<cap>,1))	LL LXJVX LWST LVNIRQFXTTLI LVRPMSZTXQDZEHCD QKEO	TBSJBKYMJLUAWDD XECXKELPTNSWNKQ Q L XHVKQLZCG TRPUZONSKWLUWEFPUB
b-1_t-cat_id-8	A list of 2 strings.first string consist of 'Q' or 'L', last string consist of 1 or more captital letters.	concat(or(<Q>,<L>),repeatatleast(<cap>,1))	LL LXJVX LWST LVNIRQFXTTLI LVRPMSZTXQDZEHCD QKEO	TBSJBKYMJLUAWDD XECXKELPTNSWNKQ Q L XHVKQLZCG TRPUZONSKWLUWEFPUB
b-1_t-cat_id-81	A LIST OF FIRST STRING CONSIST BY 2-4 DIGIT AND NEXT STRING CONSIST BY 1-3 LOWERCASE OR DIGIT THAT IS OPTIONAL	concat(repeatrange(<num>,2,4),optional(repeatrange(or(<low>,<num>),1,3)))	153p4 201l4h 66ku 201lpd 555 153pf	60731a23 4v87 48576m0k 60731a2t 48576m08 7f
b-1_t-cat_id-81	A string with 2-4 digits, then an optional 1-3 lowercase letters or digits	concat(repeatrange(<num>,2,4),optional(repeatrange(or(<low>,<num>),1,3)))	153p4 201l4h 66ku 201lpd 555 153pf	60731a23 4v87 48576m0k 60731a2t 48576m08 7f
b-1_t-cat_id-84	There are two strings are included. the first part of the 2 to 3 capital letter. the last part consist the 3 to 4 digit or capital letter that is a optional	concat(repeatrange(<cap>,2,3),optional(repeatrange(or(<num>,<cap>),3,4)))	TR962 GON129J LV ODCKC0 GON12C2 GON12CR	N76K QHDL8G62 MJ2U QHDL8G6N VXQT QHDL8GCS
b-1_t-cat_id-84	A LIST OF TWO STRINGS.THE FIRST STRING CONSIST OF 2-3 CAPITAL AND FINAL STRING CONSIST OF 3-4 DIGIT OR CAPITAL THAT IS OPTIONAL.	concat(repeatrange(<cap>,2,3),optional(repeatrange(or(<num>,<cap>),3,4)))	TR962 GON129J LV ODCKC0 GON12C2 GON12CR	N76K QHDL8G62 MJ2U QHDL8G6N VXQT QHDL8GCS
b-1_t-cat_id-85	There are list of four strings.  First string contains 'gd' or 'scy'.  Followed by a I are optional. Next string contains 'gd' or 'scy'.  Last string contains 3+ digit that is optional.	concat(or(const(<gd>),const(<scy>)),concat(optional(<l>),concat(or(const(<gd>),const(<scy>)),optional(repeatatleast(<num>,3)))))	scygd232 gdlscy833791687 gdlgd825041883566634 gdgd5369009739260 scylgd24254688 gdlgd	gdscy66 scyllscy074 scygd88 gdlgh scyllscy58910754 scyllgd
b-1_t-cat_id-85	The string starts with either lowercase 'gd' or 'scy' and then is followed by an optional lower case l. After that comes another lowercase 'gd' or 'scy' followed by 3+ digits which is optional.	concat(or(const(<gd>),const(<scy>)),concat(optional(<l>),concat(or(const(<gd>),const(<scy>)),optional(repeatatleast(<num>,3)))))	scygd232 gdlscy833791687 gdlgd825041883566634 gdgd5369009739260 scylgd24254688 gdlgd	gdscy66 scyllscy074 scygd88 gdlgh scyllscy58910754 scyllgd
